ROB Size,Width,IQ Size,#Instructions,# Cycles,IPC
512,1,8,10000,10248,0.975800
512,1,16,10000,10044,0.995619
512,1,32,10000,10041,0.995917
512,1,64,10000,10041,0.995917
512,1,128,10000,10041,0.995917
512,1,256,10000,10041,0.995917
512,2,8,10000,6081,1.644466
512,2,16,10000,5335,1.874414
512,2,32,10000,5067,1.973554
512,2,64,10000,5053,1.979022
512,2,128,10000,5053,1.979022
512,2,256,10000,5053,1.979022
512,4,8,10000,5045,1.982161
512,4,16,10000,3552,2.815315
512,4,32,10000,2768,3.612717
512,4,64,10000,2582,3.872967
512,4,128,10000,2570,3.891051
512,4,256,10000,2570,3.891051
512,8,8,10000,7768,1.287333
512,8,16,10000,3474,2.878526
512,8,32,10000,2117,4.723666
512,8,64,10000,1478,6.765900
512,8,128,10000,1344,7.440476
512,8,256,10000,1325,7.547170
